day,run,block,trial,block_type,base_path,top_correct,bottom_left,bottom_right,bottom_correct_match,record_type,trial_index,block_number,trial_in_block,is_face_block,stimonset,respsec,responsecorr,isi_seconds,block_onset,frame_index,timestamp,frame_type,keypress_index,key_code,accuracy,trigger_timestamp,screenX,screenY,source_csv_path
1,2,NaN,NaN,,,,,,,block,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,1779118318.2565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,NaN,NaN,,,,,,,block,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,1779118393.20617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,NaN,NaN,,,,,,,frame,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1779118186.33326,0,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,NaN,NaN,,,,,,,frame,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,1779118186.34488,-1,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,NaN,NaN,,,,,,,frame,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,1779118186.3657,-1,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,NaN,NaN,,,,,,,frame,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,1779118186.38652,-1,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,NaN,NaN,,,,,,,frame,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,1779118186.40734,-1,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,NaN,NaN,,,,,,,frame,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,1779118186.42816,-1,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,NaN,NaN,,,,,,,frame,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,1779118186.44898,-1,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,NaN,NaN,,,,,,,frame,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1779118186.4698,-1,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
