day,run,block,trial,block_type,base_path,top_correct,bottom_left,bottom_right,bottom_correct_match,record_type,trial_index,block_number,trial_in_block,is_face_block,stimonset,respsec,responsecorr,isi_seconds,block_onset,frame_index,timestamp,frame_type,keypress_index,key_code,accuracy,trigger_timestamp,screenX,screenY,source_csv_path
1,1,3,3,neg_face,stimuli_images/faces,RADIATE_COLOR_4/BF12/BF12_AO.bmp,RADIATE_COLOR_1/AF10/AF10_AO.bmp,RADIATE_COLOR_4/BF12/BF12_AO.bmp,right,trial,21,3,3,1,1779118001.94644,1.24030232429504,1,4,1779117986.95656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,3,4,neg_face,stimuli_images/faces,RADIATE_COLOR_1/AF10/AF10_AO.bmp,RADIATE_COLOR_1/AF10/AF10_AO.bmp,RADIATE_COLOR_2/AM06/AM06_AO.bmp,left,trial,22,3,4,1,1779118009.94106,1.05597233772278,1,4,1779117986.95656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,3,5,neg_face,stimuli_images/faces,RADIATE_COLOR_10/WM13/WM13_AC.bmp,RADIATE_COLOR_10/WM13/WM13_AC.bmp,RADIATE_COLOR_3/BF05/BF05_AC.bmp,left,trial,23,3,5,1,1779118017.93582,1.09826588630676,1,4,1779117986.95656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,3,6,neg_face,stimuli_images/faces,RADIATE_COLOR_1/AF02/AF02_AC.bmp,RADIATE_COLOR_9/WF11/WF11_AC.bmp,RADIATE_COLOR_1/AF02/AF02_AC.bmp,right,trial,24,3,6,1,1779118025.93056,1.98102736473083,1,6,1779117986.95656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,3,7,neg_face,stimuli_images/faces,RADIATE_COLOR_2/AM06/AM06_AO.bmp,RADIATE_COLOR_2/AM06/AM06_AO.bmp,RADIATE_COLOR_3/BF03/BF03_AO.bmp,left,trial,25,3,7,1,1779118035.92399,1.00860500335693,1,6,1779117986.95656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,3,8,neg_face,stimuli_images/faces,RADIATE_COLOR_3/BF03/BF03_AO.bmp,RADIATE_COLOR_9/WF10/WF10_AO.bmp,RADIATE_COLOR_3/BF03/BF03_AO.bmp,right,trial,26,3,8,1,1779118045.9174,0.832995653152466,1,2,1779117986.95656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,3,9,neg_face,stimuli_images/faces,RADIATE_COLOR_1/AF08/AF08_FC.bmp,RADIATE_COLOR_2/AM07/AM07_FC.bmp,RADIATE_COLOR_1/AF08/AF08_FC.bmp,right,trial,27,3,9,1,1779118051.91344,0.965070962905884,1,6,1779117986.95656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,4,1,shape,shapes_output,oval_tall_small.png,oval_wide_xlarge.png,oval_tall_small.png,right,trial,28,4,1,0,1779118064.90486,0.999580860137939,1,2,1779118061.90684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,4,2,shape,shapes_output,oval_tall_xsmall.png,oval_tall_xsmall.png,circle_mediumplus.png,left,trial,29,4,2,0,1779118070.90089,0.77821683883667,1,2,1779118061.90684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,4,3,shape,shapes_output,circle_mediumplus.png,oval_tall_medium.png,circle_mediumplus.png,right,trial,30,4,3,0,1779118076.89692,1.16711235046387,1,2,1779118061.90684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,4,4,shape,shapes_output,oval_wide_xxlarge.png,oval_wide_xxlarge.png,circle_small.png,left,trial,31,4,4,0,1779118082.89295,0.641860961914062,1,2,1779118061.90684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,4,5,shape,shapes_output,oval_wide_large.png,circle_smallplus.png,oval_wide_large.png,right,trial,32,4,5,0,1779118088.88897,1.25726056098938,1,2,1779118061.90684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,4,6,shape,shapes_output,oval_tall_medium.png,oval_tall_medium.png,oval_tall_xlarge.png,left,trial,33,4,6,0,1779118094.88499,0.853813171386719,1,2,1779118061.90684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,4,7,shape,shapes_output,oval_wide_xlarge.png,oval_tall_xsmall.png,oval_wide_xlarge.png,right,trial,34,4,7,0,1779118100.88101,0.636764764785767,1,2,1779118061.90684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,4,8,shape,shapes_output,oval_wide_xlarge.png,oval_tall_xxlarge.png,oval_wide_xlarge.png,right,trial,35,4,8,0,1779118106.87703,1.28915119171143,1,2,1779118061.90684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,4,9,shape,shapes_output,oval_tall_large.png,oval_tall_large.png,circle_small.png,left,trial,36,4,9,0,1779118112.87304,0.771476984024048,1,2,1779118061.90684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,NaN,NaN,,,,,,,block,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1779117855.04573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,NaN,NaN,,,,,,,block,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,1779117929.99503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,NaN,NaN,,,,,,,block,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,1779117986.95656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,NaN,NaN,,,,,,,block,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,1779118061.90684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,NaN,NaN,,,,,,,frame,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1779117855.0035,0,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,NaN,NaN,,,,,,,frame,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,1779117855.04573,-1,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,NaN,NaN,,,,,,,frame,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,1779117855.06655,-1,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,NaN,NaN,,,,,,,frame,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,1779117855.08737,-1,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,NaN,NaN,,,,,,,frame,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,1779117855.10819,-1,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,NaN,NaN,,,,,,,frame,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,1779117855.12901,-1,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,NaN,NaN,,,,,,,frame,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,1779117855.14983,-1,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,NaN,NaN,,,,,,,frame,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1779117855.17065,-1,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
